Материнская плата ASUS PRIME H510M-E ,6860, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-e-soc-1200-intel-h510-2xddr4-matx-1495440/ , https://cdn.citilink.ru/14tcipDbiBEFxq7RAf43wa1OuaIMkPpnRbPsjBzHL2U/fit/400/400/ce/false/plain/items/1495440_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата Gigabyte B560M H ,6890, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b560m-h-soc-1200-intel-b560-2xddr4-matx-ac-1530434/ , https://cdn.citilink.ru/A6TVr6yDqVl4ef3KqpwuVN8vxeMXjEmIc6HvVkj-pEQ/fit/400/400/ce/false/plain/items/1530434_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B560|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB560
Материнская плата ASUS PRIME H510M-A ,6890, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-a-soc-1200-intel-h510-2xddr4-matx-1495429/ , https://cdn.citilink.ru/-HZWQgBIbmrxkaO8Y5YKO9vw1n5ED-oI6yVP0DWVt-Q/fit/400/400/ce/false/plain/items/1495429_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата Gigabyte A520M AORUS ELITE ,6910, https://www.citilink.ru/product/materinskaya-plata-gigabyte-a520m-aorus-elite-socketam4-amd-a520-matx-1440088/ , https://cdn.citilink.ru/b568fR8UIECVUqV4UV04AizxvKH66TZAQflrmMOiLD8/fit/400/400/ce/false/plain/items/1440088_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата Gigabyte B450 AORUS M ,6920, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450-aorus-m-socketam4-amd-b450-matx-ret-1101030/ , https://cdn.citilink.ru/IiLGTX5VpySWSmJXCSvrHcMVjqeL2V3HNsWDQJ3Zuzo/fit/400/400/ce/false/plain/items/1101030_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASROCK B450M STEEL LEGEND ,6930, https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-steel-legend-socketam4-amd-b450-matx-r-1123793/ , https://cdn.citilink.ru/VVgunr-pWHSBFVu6qAQreVd-oiYCyGAa-yywsm5x9cY/fit/400/400/ce/false/plain/items/1123793_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASUS PRIME A520M-A II ,6970, https://www.citilink.ru/product/materinskaya-plata-asus-prime-a520m-a-ii-soc-am4-amd-a520-4xddr4-matx-1521351/ , https://cdn.citilink.ru/jUhD8p06RcxEYHbq50e8_1x_e_UZrdknDEac-Mfd5_4/fit/400/400/ce/false/plain/items/1521351_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата ASROCK B450 Gaming K4 ,6990, https://www.citilink.ru/product/materinskaya-plata-asrock-b450-gaming-k4-socketam4-amd-b450-atx-ret-1087869/ , https://cdn.citilink.ru/sagCIXmPNvAsH2Y9albjgC-3dxcKC8YLKSCmDBQejRI/fit/400/400/ce/false/plain/items/1087869_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASUS TUF GAMING B450-PLUS II ,6990, https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b450-plus-ii-socketam4-amd-b450-atx-1468600/ , https://cdn.citilink.ru/gfxI1twz3cKlTzRtSroyE7hNRdTmsSj5oS2z36dO5oA/fit/400/400/ce/false/plain/items/1468600_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte A520 AORUS ELITE ,6990, https://www.citilink.ru/product/materinskaya-plata-gigabyte-a520-aorus-elite-socketam4-amd-b550-atx-re-1415701/ , https://cdn.citilink.ru/hkZXlSXbYMRKwBPWfme4XCFVsFgIEs8PFRsvAbNWEW8/fit/400/400/ce/false/plain/items/1415701_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDA520
Материнская плата MSI B560M-A PRO ,6990, https://www.citilink.ru/product/materinskaya-plata-msi-b560m-a-pro-soc-1200-intel-b560-2xddr4-matx-ac-1520476/ , https://cdn.citilink.ru/K3rfMi3s5KEE_L8a0550W379HsGLA95bEyfdvRdROMI/fit/400/400/ce/false/plain/items/1520476_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B560|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB560
Материнская плата ASUS PRIME H410M-D ,6990, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-d-soc-1200-intel-h410-2xddr4-matx-1393260/ , https://cdn.citilink.ru/DF_inT5iD-rQMEf_KwJtrzRRe5c0PKPU7eVesx53aao/fit/400/400/ce/false/plain/items/1393260_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H410|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH410
Материнская плата ASROCK B460M-HDV ,7030, https://www.citilink.ru/product/materinskaya-plata-asrock-b460m-hdv-soc-1200-intel-b460-2xddr4-matx-ac-1391283/ , https://cdn.citilink.ru/e5K_X9CWVdUWtB-99wqQaQz7erWC1EypVLj09m16qcw/fit/400/400/ce/false/plain/items/1391283_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B460|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB460
Материнская плата ASROCK B365M PRO4 ,7040, https://www.citilink.ru/product/materinskaya-plata-asrock-b365m-pro4-lga-1151v2-intel-b365-matx-ret-1146350/ , https://cdn.citilink.ru/6CURvldhpEMpKqH8g86fwdZ5wCme7vNdj9KtAVravCU/fit/400/400/ce/false/plain/items/1146350_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel B365|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB365
Материнская плата MSI B550M PRO-VDH ,7050, https://www.citilink.ru/product/materinskaya-plata-msi-b550m-pro-vdh-socketam4-amd-b550-matx-ret-1455653/ , https://cdn.citilink.ru/l8aJISOKdr4Duxk3pHSpelNTAzOH3mkjbU4V-53sk_8/fit/400/400/ce/false/plain/items/1455653_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB550
Материнская плата ASROCK B365 PRO4 ,7130, https://www.citilink.ru/product/materinskaya-plata-asrock-b365-pro4-lga-1151v2-intel-b365-atx-ret-1146349/ , https://cdn.citilink.ru/WQ10W6xn7K7iV8Jh-iJHlbAaE_BxJUfBQlVmb28TAKE/fit/400/400/ce/false/plain/items/1146349_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel B365|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,IntelB365
Материнская плата Gigabyte H370M DS3H ,7170, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h370m-ds3h-lga-1151v2-intel-h370-matx-ret-1068026/ , https://cdn.citilink.ru/RyMtBZMwOkApcKkdP9Ma_IUPckJVfYNGJDs_Y7Zgwpo/fit/400/400/ce/false/plain/items/1068026_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H370|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH370
Материнская плата Gigabyte B550M DS3H ,7190, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550m-ds3h-soc-am4-amd-b550-4xddr4-matx-ac-1407213/ , https://cdn.citilink.ru/ZLH0tga3715CKBkyY2dcsLRGm1BUJc_FAuz9WRojMEk/fit/400/400/ce/false/plain/items/1407213_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB550
Материнская плата Gigabyte B450 AORUS ELITE ,7240, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450-aorus-elite-socketam4-amd-b450-atx-re-1087918/ , https://cdn.citilink.ru/RpSd6G_4jajypvDCqmuvXrDL6pjM4dTWXhX4t0AWWvY/fit/400/400/ce/false/plain/items/1087918_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASUS PRIME H410M-A ,7240, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-a-soc-1200-intel-h410-2xddr4-atx-a-1379727/ , https://cdn.citilink.ru/rrA_Vj1NmhqXgasa6lMF82UxK6KbI-DhjWUJNwa3WKU/fit/400/400/ce/false/plain/items/1379727_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H410|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH410
Материнская плата ASUS PRIME B460M-A R2.0 ,7290, https://www.citilink.ru/product/materinskaya-plata-asus-prime-b460m-a-r2-0-soc-1200-intel-h470-4xddr4-1601955/ , https://cdn.citilink.ru/NONbDMa_kg2ULK6YrDgHdC2PnIsUkzzrIZG9324nieQ/fit/400/400/ce/false/plain/items/1601955_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H470|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH470
Материнская плата MSI B550M-A PRO ,7290, https://www.citilink.ru/product/materinskaya-plata-msi-b550m-a-pro-socketam4-amd-b550-matx-ret-1474377/ , https://cdn.citilink.ru/QkTAOIQeVfIT1AqGu5jzqytMrIxhoqa8nvqEMAIZ9yQ/fit/400/400/ce/false/plain/items/1474377_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB550
Материнская плата ASROCK B560M-HDV ,7390, https://www.citilink.ru/product/materinskaya-plata-asrock-b560m-hdv-soc-1200-intel-b560-2xddr4-matx-ac-1495485/ , https://cdn.citilink.ru/ExRu0e1NhWUeU1AaLL0rdoihbjt_dVfXmUDL4MGqOw0/fit/400/400/ce/false/plain/items/1495485_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B560|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB560
Материнская плата ASUS PRIME B550M-K ,7390, https://www.citilink.ru/product/materinskaya-plata-asus-prime-b550m-k-soc-am4-amd-b550-4xddr4-matx-ac-1384319/ , https://cdn.citilink.ru/qHAK7cjOpdQkaay1MmiKRQhSvj5nQJok3HMWpz_Rfv8/fit/400/400/ce/false/plain/items/1384319_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB550
Материнская плата ASUS TUF GAMING A520M-PLUS II ,7390, https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-a520m-plus-ii-soc-am4-amd-a520-4xdd-1613276/ , https://cdn.citilink.ru/Hx8Rg_AdsnhbsEmjQHmmF-0HkAZfUjEKP5B-nUylWD8/fit/400/400/ce/false/plain/items/1613276_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата ASUS TUF B450-PLUS GAMING ,7440, https://www.citilink.ru/product/materinskaya-plata-asus-tuf-b450-plus-gaming-socketam4-amd-b450-atx-re-1083576/ , https://cdn.citilink.ru/LSJ7S35JvH4Tl0FSdkUV7zDHYQQ18BN3tkEErXpueFI/fit/400/400/ce/false/plain/items/1083576_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASUS PRIME H310-PLUS R2.0 ,7460, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h310-plus-r2-0-lga-1151v2-intel-h310-atx-1155497/ , https://cdn.citilink.ru/4RZy1zLGWWZF5HqnJSn7BWaj_BseA-bjxZQOZKDlx0o/fit/400/400/ce/false/plain/items/1155497_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | ATX|Тип поставки | Ret| ,IntelH310
Материнская плата ASUS PRIME B550-PLUS(восстановленный) ,7460, https://www.citilink.ru/product/materinskaya-plata-asus-prime-b550-plus-socketam4-amd-b550-atx-ret-vos-M00211587/ , https://cdn.citilink.ru/4qC1QQjRTSOnOEMiKHCXGkIWk-7qW8ghqhtYPrkaIWI/fit/400/400/ce/false/plain/items/1387920_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB550
Материнская плата ASROCK X370 PRO4 ,7490, https://www.citilink.ru/product/materinskaya-plata-asrock-x370-pro4-soc-am4-amd-x370-4xddr4-atx-ac-97-1384515/ , https://cdn.citilink.ru/5xxqbW6CJKF-9xfCko6mNsqDEXjECx4YLKDuKElJTMA/fit/400/400/ce/false/plain/items/1384515_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD X370|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDX370
Материнская плата ASROCK B460M Pro4 ,7590, https://www.citilink.ru/product/materinskaya-plata-asrock-b460m-pro4-lga-1200-intel-b460-matx-ret-1415786/ , https://cdn.citilink.ru/FenFl3RYYSbs_dkkfOOmpltAUWJ72PE0jzPRhC2cecE/fit/400/400/ce/false/plain/items/1415786_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B460|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB460
Материнская плата MSI B450-A PRO MAX ,7630, https://www.citilink.ru/product/materinskaya-plata-msi-b450-a-pro-max-socketam4-amd-b450-atx-ret-1207988/ , https://cdn.citilink.ru/xWkeQvJI58dADjSnA09HKhflvqQld84S2b6KNGIu0R8/fit/400/400/ce/false/plain/items/1207988_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte B450 AORUS ELITE V2 ,7720, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450-aorus-elite-v2-socketam4-amd-b450-atx-1468627/ , https://cdn.citilink.ru/foww0VNU_6ef5x-ytBcrmdaO_AZT7-dltP7YFufK3OI/fit/400/400/ce/false/plain/items/1468627_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASUS TUF GAMING B450M-PLUS II ,7810, https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b450m-plus-ii-soc-am4-amd-b450-4xdd-1498831/ , https://cdn.citilink.ru/wbez28VS9UWdxUtmCXbcHMbYEM4R8hX2pzuNlgHv_4I/fit/400/400/ce/false/plain/items/1498831_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата MSI H510M PRO ,7830, https://www.citilink.ru/product/materinskaya-plata-msi-h510m-pro-soc-1200-intel-h510-2xddr4-matx-ac-97-1520478/ , https://cdn.citilink.ru/jD3ecgP8JRYoji89Y-37saAQtDdSyWtGbcXmAhgRSBA/fit/400/400/ce/false/plain/items/1520478_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата ASUS PRIME B460M-K ,7990, https://www.citilink.ru/product/materinskaya-plata-asus-prime-b460m-k-soc-1200-intel-b460-2xddr4-matx-1384230/ , https://cdn.citilink.ru/N4-y5ue8z0UiOud6iuunQkgA4qU-P8BMHhv0NtKrojY/fit/400/400/ce/false/plain/items/1384230_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B460|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB460
Материнская плата ASROCK B450 STEEL LEGEND ,7990, https://www.citilink.ru/product/materinskaya-plata-asrock-b450-steel-legend-socketam4-amd-b450-atx-ret-1132307/ , https://cdn.citilink.ru/webgufYIPsaHoSO8lX6n7aru0BgcGQmfUBwUtdDlCFY/fit/400/400/ce/false/plain/items/1132307_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte B450 AORUS PRO ,8280, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450-aorus-pro-socketam4-amd-b450-atx-ret-1080839/ , https://cdn.citilink.ru/0q_Csc9wIjY9N7KKhWJBTgcsq0tcenOM5h8sR4jpANs/fit/400/400/ce/false/plain/items/1080839_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte B460M DS3H ,8360, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b460m-ds3h-soc-1200-intel-b460-4xddr4-matx-1393317/ , https://cdn.citilink.ru/qOU1qcgLvERCl3neYwT3xjdL8LpKqGdNjvqMxXI60ek/fit/400/400/ce/false/plain/items/1393317_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B460|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB460
Материнская плата Gigabyte B550M AORUS ELITE ,8390, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550m-aorus-elite-soc-am4-amd-b550-4xddr4-1403105/ , https://cdn.citilink.ru/kww406Mz0QdV-ALgLaDU7k-Y19G2w69_fB0UeJgh_TA/fit/400/400/ce/false/plain/items/1403105_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB550
Материнская плата MSI B560M PRO ,8390, https://www.citilink.ru/product/materinskaya-plata-msi-b560m-pro-soc-1200-intel-b560-2xddr4-matx-ac-97-1520472/ , https://cdn.citilink.ru/fhWqsjCzT7HZZ8BQynBidg7JPlqlPeRjkPzEGTdDLOc/fit/400/400/ce/false/plain/items/1520472_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B560|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB560
Материнская плата ASROCK X470 MASTER SLI(восстановленный) ,8450, https://www.citilink.ru/product/materinskaya-plata-asrock-x470-master-sli-socketam4-amd-x470-atx-ret-v-M00215732/ , https://cdn.citilink.ru/Byrms09NCbNhshRQixmjVdUu44iRo1KQptzUHYZGs44/fit/400/400/ce/false/plain/items/1101035_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD X470|Поддержка SLI/CrossFire | SLI/CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDX470
Материнская плата ASROCK B550M PRO4 ,8490, https://www.citilink.ru/product/materinskaya-plata-asrock-b550m-pro4-socketam4-amd-b550-matx-ret-1399214/ , https://cdn.citilink.ru/EXvHOmBItgQvVrx9wyIMGzHDEdZXIRTpn7iqhufScMs/fit/400/400/ce/false/plain/items/1399214_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB550
Материнская плата ASUS TUF GAMING B450M-PRO II ,8510, https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b450m-pro-ii-socketam4-amd-b450-mat-1427622/ , https://cdn.citilink.ru/rIJRWXmGq7PPbV3_6VBbxlAs2YjPv_zcJ5IioSs3LTw/fit/400/400/ce/false/plain/items/1427622_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASUS PRIME B560M-K ,8590, https://www.citilink.ru/product/materinskaya-plata-asus-prime-b560m-k-soc-1200-intel-b560-2xddr4-matx-1494279/ , https://cdn.citilink.ru/JtsYBl5t8ENT0GIdXeDau-r6PIbuohYozoPJUptUbUU/fit/400/400/ce/false/plain/items/1494279_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B560|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB560
Материнская плата Gigabyte B560M DS3H V2 ,8590, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b560m-ds3h-v2-soc-1200-intel-b560-4xddr4-m-1612605/ , https://cdn.citilink.ru/kX9GjHMnCCfEcLdJ22P-17hDrCamzr6QgPArNE2fahw/fit/400/400/ce/false/plain/items/1612605_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B560|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB560
Материнская плата ASUS TUF B450M-PLUS GAMING ,8620, https://www.citilink.ru/product/materinskaya-plata-asus-tuf-b450m-plus-gaming-socketam4-amd-b450-matx-1077729/ , https://cdn.citilink.ru/GyJg60_Sk201nNQzT0XsdtpGS2DXEs2sYN3w0R2OoFA/fit/400/400/ce/false/plain/items/1077729_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASROCK A520M-ITX/AC ,8720, https://www.citilink.ru/product/materinskaya-plata-asrock-a520m-itx-ac-soc-am4-amd-a520-2xddr4-mini-it-1474263/ , https://cdn.citilink.ru/PBMDGGA5IDv137YVyo3b1yJybjbC4LArnY5QNGnGJ2I/fit/400/400/ce/false/plain/items/1474263_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mini-ITX|Тип поставки | Ret| ,AMDA520
Материнская плата ASUS TUF GAMING B550-PLUS(Б/У) ,8740, https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b550-plus-soc-am4-amd-b550-4xddr4-a-M00216236/ , https://cdn.citilink.ru/6zwurWVQ4pQDBqQFDENsGXwBi5zTSnT2_MeFmf_OKw8/fit/400/400/ce/false/plain/items/1384331_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB550
Материнская плата Gigabyte B560M DS3H ,8790, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b560m-ds3h-soc-1200-intel-b560-4xddr4-matx-1515207/ , https://cdn.citilink.ru/uU8bSPARKXFwlZSnwyem4oT2xYxyhg5bYj9DgAPuCMg/fit/400/400/ce/false/plain/items/1515207_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B560|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB560
Материнская плата ASROCK B560M PRO4 ,8990, https://www.citilink.ru/product/materinskaya-plata-asrock-b560m-pro4-soc-1200-intel-b560-4xddr4-matx-a-1485303/ , https://cdn.citilink.ru/TmXytP5vHQ04JoikLk9tfB2d4JIcT8QXnjI9WCsjH-o/fit/400/400/ce/false/plain/items/1485303_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B560|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB560
