Материнская плата MSI B365M PRO-VH ,4290, https://www.citilink.ru/product/materinskaya-plata-msi-b365m-pro-vh-lga-1151v2-intel-b365-matx-ret-1181591/ , https://cdn.citilink.ru/MiOjDSgqrEloUHGzZJJO8t-sFhaF0zLM9wLJqbw9v1Y/fit/400/400/ce/false/plain/items/1181591_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel B365|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB365
Материнская плата Gigabyte B450M S2H ,4360, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-s2h-socketam4-amd-b450-matx-ret-1120699/ , https://cdn.citilink.ru/ScP-8-98XPfkrxyk9EfnLo4wHbr7bM4CZTYjcr31wmk/fit/400/400/ce/false/plain/items/1120699_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte H310M S2V 2.0 ,4360, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h310m-s2v-2-0-lga-1151v2-intel-h310-matx-r-1101675/ , https://cdn.citilink.ru/IpyOPHMfPYVsQC3DgNz9pxWcOKX53uEq_VgYVgOLmsU/fit/400/400/ce/false/plain/items/1101675_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310
Материнская плата ASUS PRIME A320M-R-SI ,4390, https://www.citilink.ru/product/materinskaya-plata-asus-prime-a320m-r-si-socketam4-amd-a320-matx-ret-w-1156561/ , https://cdn.citilink.ru/84HSrvIEXvb9QjBut90zsEOr64VkZHJpdG7YIl11gq8/fit/400/400/ce/false/plain/items/1156561_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A320|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret (White Box)| ,AMDA320
Материнская плата Gigabyte A520M H ,4420, https://www.citilink.ru/product/materinskaya-plata-gigabyte-a520m-h-soc-am4-amd-a520-2xddr4-matx-ac-97-1405122/ , https://cdn.citilink.ru/Gzrj_TP4cux0hrl_xvaCDhDsCtsHhRZz0CbQk4JzkFg/fit/400/400/ce/false/plain/items/1405122_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата MSI B450M-A PRO MAX ,4490, https://www.citilink.ru/product/materinskaya-plata-msi-b450m-a-pro-max-socketam4-amd-b450-matx-ret-1196830/ , https://cdn.citilink.ru/uYwYgs78k_q_rEpL8u9roCBV-xDaPvdQwHH0N8z1WIA/fit/400/400/ce/false/plain/items/1196830_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte B450M H ,4490, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-h-socketam4-amd-b450-matx-ret-1362027/ , https://cdn.citilink.ru/pBb9_QjFLh5Up0mAckNq_o_fZwhHCfP2eKXZUhoSJYc/fit/400/400/ce/false/plain/items/1362027_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASROCK B450M-HDV R4.0 ,4500, https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-hdv-r4-0-socketam4-amd-b450-matx-ret-1135186/ , https://cdn.citilink.ru/U_MEQ9RTx3-yARzva0ObajFRRDQWf4gankwJRAPW7Uc/fit/400/400/ce/false/plain/items/1135186_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASROCK A520M-HVS ,4500, https://www.citilink.ru/product/materinskaya-plata-asrock-a520m-hvs-soc-am4-amd-a520-2xddr4-matx-ac-97-1407202/ , https://cdn.citilink.ru/WSq_6ywVQCZout57ZUZTd94cJgkQ_NvgcU3js3WaP50/fit/400/400/ce/false/plain/items/1407202_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата MSI H310M PRO-VDH PLUS ,4510, https://www.citilink.ru/product/materinskaya-plata-msi-h310m-pro-vdh-plus-lga-1151v2-intel-h310-matx-r-1100872/ , https://cdn.citilink.ru/KD9Q4WFrFkkZEwKbWZOXPuuvPZuOMipyUOkM33bqzuo/fit/400/400/ce/false/plain/items/1100872_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310
